text,created_at
"RT @DC_in_Towson: Just finished. Awesome book, the best I've read in years. Easily a worthy successor to Heinlein, and I'm not joking… ",Wed Dec 13 20:32:35 +0000 2017

GOVERNOR CUOMO UNVEILS FIRST PROPOSAL OF 2018 STATE OF THE STATE: REMOVE FIREARMS FROM DOMESTIC ABUSERS… https://t.co/geppzYghkd,Wed Dec 13 20:32:35 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:36 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:37 +0000 2017

Help out! Give to Armored police officer from 3 sheets of Kevlar !!! https://t.co/1EM2r73Vic. Raise funds on… https://t.co/Fd1LX2VQm2,Wed Dec 13 20:32:38 +0000 2017

"RT @UAMESSRellB: Dont show your ass &amp; titts, Money &amp; Guns all the time, then say ""I dont do it for attention"" because at that point,… ",Wed Dec 13 20:32:39 +0000 2017

@MyDaughtersArmy @sandyhook @NicoleHockley All your cultural and societal work is critical....but please note this… https://t.co/OkKmGA1fYQ,Wed Dec 13 20:32:39 +0000 2017

RT @SimpsonsQOTD: “Becoming a cop is not something that happens overnight. It takes one solid weekend of training to get that badge.”… ,Wed Dec 13 20:32:40 +0000 2017

RT @PamelaSwanson17: #JimJordan is a very angry and scarey man. https://t.co/xzuCVdYboi,Wed Dec 13 20:32:40 +0000 2017

@Undiluted19967 @ZimMediaReview What has this got to do with guns? He is responding as minister,Wed Dec 13 20:32:42 +0000 2017

"@RAZ0RFIST It's this type of ""guns are bad"" panic that gets people killed. Yes, guns are made for harming other hum… https://t.co/MZrHO9iJ2v",Wed Dec 13 20:32:42 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:32:43 +0000 2017

