EXCHANGE%3DNYSE,,,,,,
MARKET_OPEN_MINUTE=570,,,,,,
MARKET_CLOSE_MINUTE=960,,,,,,
INTERVAL=60,,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,
DATA=,,,,,,
TIMEZONE_OFFSET=-300,,,,,,
291,52.425,52.425,52.3,52.35,4835,12/11/17 14:21
292,52.45,52.45,52.45,52.45,1022,12/11/17 14:22
293,52.5,52.5,52.45,52.45,3555,12/11/17 14:23
294,52.45,52.55,52.45,52.45,5562,12/11/17 14:24
295,52.5,52.5,52.5,52.5,200,12/11/17 14:25
298,52.475,52.475,52.475,52.475,300,12/11/17 14:28
299,52.475,52.475,52.45,52.475,400,12/11/17 14:29
300,52.4,52.475,52.35,52.45,1447,12/11/17 14:30
303,52.325,52.33,52.325,52.33,555,12/11/17 14:33
304,52.35,52.35,52.325,52.325,2634,12/11/17 14:34
305,52.25,52.35,52.2,52.35,2575,12/11/17 14:35
306,52.3,52.3,52.3,52.3,785,12/11/17 14:36
308,52.25,52.25,52.25,52.25,100,12/11/17 14:38
309,52.25,52.25,52.25,52.25,400,12/11/17 14:39
312,52.3,52.3,52.25,52.25,400,12/11/17 14:42
313,52.25,52.25,52.25,52.25,200,12/11/17 14:43
314,52.35,52.35,52.3,52.3,1017,12/11/17 14:44
315,52.35,52.35,52.35,52.35,400,12/11/17 14:45
316,52.35,52.35,52.3,52.325,300,12/11/17 14:46
319,52.3,52.3,52.3,52.3,1300,12/11/17 14:49
320,52.3,52.3,52.3,52.3,700,12/11/17 14:50
321,52.2658,52.2658,52.2658,52.2658,300,12/11/17 14:51
323,52.275,52.275,52.275,52.275,300,12/11/17 14:53
324,52.275,52.275,52.255,52.275,900,12/11/17 14:54
325,52.3,52.3,52.275,52.275,900,12/11/17 14:55
326,52.35,52.35,52.35,52.35,263,12/11/17 14:56
330,52.35,52.35,52.35,52.35,100,12/11/17 15:00
331,52.3089,52.3089,52.3,52.3,599,12/11/17 15:01
332,52.3341,52.35,52.3341,52.35,900,12/11/17 15:02
334,52.3,52.3,52.3,52.3,100,12/11/17 15:04
335,52.25,52.3,52.25,52.3,1701,12/11/17 15:05
336,52.2,52.2,52.2,52.2,400,12/11/17 15:06
337,52.15,52.15,52.15,52.15,500,12/11/17 15:07
339,52.075,52.1,52.075,52.1,1669,12/11/17 15:09
340,52.05,52.05,52.05,52.05,1632,12/11/17 15:10
341,52.05,52.05,52.05,52.05,200,12/11/17 15:11
343,52.068,52.068,52,52,2770,12/11/17 15:13
344,52.05,52.05,52.05,52.05,400,12/11/17 15:14
346,52.075,52.075,52.075,52.075,100,12/11/17 15:16
347,52,52.05,52,52.05,4589,12/11/17 15:17
348,52,52,52,52,500,12/11/17 15:18
349,52.025,52.025,52,52,425,12/11/17 15:19
350,52,52.025,52,52,300,12/11/17 15:20
351,52,52,52,52,100,12/11/17 15:21
352,51.95,52.025,51.95,52,2874,12/11/17 15:22
353,51.9,51.95,51.9,51.95,500,12/11/17 15:23
354,51.95,51.95,51.9,51.9,200,12/11/17 15:24
356,51.9,51.9,51.9,51.9,100,12/11/17 15:26
357,51.875,51.9,51.875,51.9,729,12/11/17 15:27
358,51.85,51.875,51.85,51.875,500,12/11/17 15:28
359,51.875,51.875,51.85,51.85,400,12/11/17 15:29
360,52.05,52.05,51.875,51.875,5926,12/11/17 15:30
361,52.025,52.1,52,52,300,12/11/17 15:31
362,52,52,52,52,100,12/11/17 15:32
363,51.975,51.975,51.975,51.975,100,12/11/17 15:33
364,51.975,51.975,51.975,51.975,400,12/11/17 15:34
365,51.95,51.95,51.95,51.95,100,12/11/17 15:35
366,52.025,52.025,52,52,300,12/11/17 15:36
368,52,52,52,52,1098,12/11/17 15:38
369,51.95,51.975,51.95,51.975,900,12/11/17 15:39
370,51.9,51.95,51.9,51.9,800,12/11/17 15:40
371,51.9,51.95,51.9,51.95,300,12/11/17 15:41
372,51.9235,51.95,51.9235,51.925,700,12/11/17 15:42
373,51.9,51.925,51.9,51.925,300,12/11/17 15:43
374,51.875,51.9,51.875,51.9,600,12/11/17 15:44
375,51.85,51.9,51.85,51.9,1603,12/11/17 15:45
376,51.95,51.95,51.875,51.9,2089,12/11/17 15:46
